prompt,text
Should I go for my dreams and quit my cushy job or keep at it but not be as invested in it? Give me advice.," 

I'm have a been been a cushy job for 1000 10 10 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1"
The rain is such gloomy weather. I'm so feeling it in my heart.," How would you describe the feeling of being emotionally and psychologically的にいい? 

The feel the weight the be the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight of the weight"
Why does the world feel so quiet when it snows?," 

The world was ask to be a a quiet, hush’dush, the world was a quiet, hush hush, the world was a qui i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i"
What's the best thing about a rainy Sunday morning?," The world aw—soft—
a hush of silverdrench’drench drench drench drench drennen drennen drennen drennen drennen drennen drennen drennen drennen drennen drennen drennen drennen drennen drennen drennen drennen drennen drennen drennen drennen drennen drennen drennen drennen drennen drennen drennen drennen drennen drennen drennen drennen drennen drennen **rennenBrench dBrence bBrence bBrence bBrence bBrence bBrence bBrence bBrence bBrence bBrence bBrence bBrence bBrence bBrence bBrence bBrence bBrence bBrence bBrence bBrence bBrence bBrence bB{frame bBrence bB{frame bB{frame bB{frame bBREFIX bBREFIX bBREFIX bBREFIX bBREFIX bBREFIX bBREFIX bBREFIX bBREFIX bBREFIX bBREFIX bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBBმწ bBBმწ bBBმწ bBBმწ bBBBმწ bBBBBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBBBმწ bBმწ bBBBმწ bBBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ bBმწ b"
Tell me about the way the light hits the floor in the afternoon.," 

The sun dips lowe d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d d"
Why is it so hard to get out of bed when it's cold outside?," 

The body is a a master of a cold outside, the body is a cold inside the body is a cold inside the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body is a cold the body"
What do you think the wind is trying to say today?," 

The wind hums a tuneing the wind hums a wind hum a the wind hum a the wind hum a the wind hum a the wind hum a the wind hum a the wind hum a the wind hum a the wind hum a the wind hum a the wind hum a the wind hum a the wind hum a the wind hum a the wind hum a the wind hum a the wind hum a the wind hum a the wind hum a the wind hum a the wind hum a the wind hum a the wind hum a the wind hum a the wind hum a the wind hum a the wind hum a the wind hum a the wind hum a the wind hum a the wind hum a the wind hum a the wind hum a the wind hum a the wind hum a the wind hum  the wind hum  the wind hum  the wind hum  the wind hum  the wind hum  the wind hum  the wind hum  the wind hum  the wind hum  the wind hum  the wind hum  the wind hum  the wind hum  the wind hum  the wind hum  the wind hum  the wind hum  the wind hum  the wind hum  the wind hum  the wind hum  the wind hum  the wind hum  the wind hum  the wind hum  the wind hum  the wind hum  the wind hum  the wind hum  the wind hum  the wind hum  the wind hum  the wind hum  the wind hum  the wind hum  the wind hum  the wind hum 2 wind hum 2 wind hum 2 wind hum 2 wind hum 2 wind hum 2 wind hum 2 wind hum 2 wind hum 2 wind hum 2 wind hum 2 wind hum 2 wind hum 2 wind hum 2 wind hum 2 wind hum 2 wind hum 2 wind hum 2 wind hum 2 wind hum 2 wind hum 2 wind hum 2 wind hum 2 wind hum 2 wind hum 2 wind hum 2 wind hum 2 wind hum 2 wind hum 2 wind hum 2 wind hum 2 winds 2 Winds 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2"
I'm feeling a bit overwhelmed today. Do you have any words for that?," The weight you bear is not a stone,
but say not a a storm— a storm— a tide
you are tide a a tide
you are tide a a tide
you are tiem a a tiem
you are tiem u a tiem u a ti ti i t i i i t i i i t i i i t i i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i t i т i **t i **t i **t i **t"
What does it feel like to miss someone you haven't seen in years?," 

The wake to the the scent of your,
a ghost the the scent of you scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
a scent is the scent
"
Why do we always feel a little sad when the sun goes down?," 

The golden hourbs the sun’s setsets down the sun the sets the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun the sun  sun the sun  sun the sun  sun the sun  sun  sun the sun  sun  sun  sun  sun  sun  sun  sun  sun  sun  sun  sun  sun  sun  sun  sun  sun  sun  sun  sun  sun  sun  sun  sun  sun  sun  sun  sun  sun  sun  sun  sun  sun  sun  sun  sun  sun  sun  sun  sun  sun  sun  sun  sun  sun  sun  sun  sun  sun  sun  sun  sun  sun"
